trial,seed,graph,gen,bestSpan_gen
2,1236,sd_3_100.txt,144,122
2,1236,sd_3_100.txt,145,122
2,1236,sd_3_100.txt,146,122
2,1236,sd_3_100.txt,147,122
2,1236,sd_3_100.txt,148,122
2,1236,sd_3_100.txt,149,122
2,1236,sd_3_100.txt,150,122
2,1236,sd_3_100.txt,151,122
2,1236,sd_3_100.txt,152,122
3,1237,sd_3_100.txt,1,136
3,1237,sd_3_100.txt,2,136
3,1237,sd_3_100.txt,3,136
3,1237,sd_3_100.txt,4,133
3,1237,sd_3_100.txt,5,133
3,1237,sd_3_100.txt,6,133
3,1237,sd_3_100.txt,7,133
3,1237,sd_3_100.txt,8,132
3,1237,sd_3_100.txt,9,132
3,1237,sd_3_100.txt,10,132
3,1237,sd_3_100.txt,11,132
3,1237,sd_3_100.txt,12,131
3,1237,sd_3_100.txt,13,131
3,1237,sd_3_100.txt,14,131
3,1237,sd_3_100.txt,15,131
3,1237,sd_3_100.txt,16,131
3,1237,sd_3_100.txt,17,131
3,1237,sd_3_100.txt,18,131
3,1237,sd_3_100.txt,19,131
3,1237,sd_3_100.txt,20,131
3,1237,sd_3_100.txt,21,130
3,1237,sd_3_100.txt,22,130
3,1237,sd_3_100.txt,23,130
3,1237,sd_3_100.txt,24,128
3,1237,sd_3_100.txt,25,127
3,1237,sd_3_100.txt,26,127
3,1237,sd_3_100.txt,27,127
3,1237,sd_3_100.txt,28,126
3,1237,sd_3_100.txt,29,126
3,1237,sd_3_100.txt,30,126
3,1237,sd_3_100.txt,31,126
3,1237,sd_3_100.txt,32,126
3,1237,sd_3_100.txt,33,125
3,1237,sd_3_100.txt,34,124
3,1237,sd_3_100.txt,35,124
3,1237,sd_3_100.txt,36,124
3,1237,sd_3_100.txt,37,124
3,1237,sd_3_100.txt,38,124
3,1237,sd_3_100.txt,39,124
3,1237,sd_3_100.txt,40,124
3,1237,sd_3_100.txt,41,124
3,1237,sd_3_100.txt,42,124
3,1237,sd_3_100.txt,43,123
3,1237,sd_3_100.txt,44,123
3,1237,sd_3_100.txt,45,123
3,1237,sd_3_100.txt,46,123
3,1237,sd_3_100.txt,47,123
3,1237,sd_3_100.txt,48,123
3,1237,sd_3_100.txt,49,123
3,1237,sd_3_100.txt,50,123
3,1237,sd_3_100.txt,51,121
3,1237,sd_3_100.txt,52,121
3,1237,sd_3_100.txt,53,121
3,1237,sd_3_100.txt,54,121
3,1237,sd_3_100.txt,55,121
3,1237,sd_3_100.txt,56,121
3,1237,sd_3_100.txt,57,121
3,1237,sd_3_100.txt,58,121
3,1237,sd_3_100.txt,59,121
3,1237,sd_3_100.txt,60,121
3,1237,sd_3_100.txt,61,121
3,1237,sd_3_100.txt,62,121
3,1237,sd_3_100.txt,63,121
3,1237,sd_3_100.txt,64,120
3,1237,sd_3_100.txt,65,120
3,1237,sd_3_100.txt,66,120
3,1237,sd_3_100.txt,67,120
3,1237,sd_3_100.txt,68,120
3,1237,sd_3_100.txt,69,120
3,1237,sd_3_100.txt,70,120
3,1237,sd_3_100.txt,71,120
3,1237,sd_3_100.txt,72,120
3,1237,sd_3_100.txt,73,120
3,1237,sd_3_100.txt,74,120
3,1237,sd_3_100.txt,75,120
3,1237,sd_3_100.txt,76,120
3,1237,sd_3_100.txt,77,120
3,1237,sd_3_100.txt,78,120
3,1237,sd_3_100.txt,79,120
3,1237,sd_3_100.txt,80,120
3,1237,sd_3_100.txt,81,120
3,1237,sd_3_100.txt,82,120
3,1237,sd_3_100.txt,83,120
3,1237,sd_3_100.txt,84,120
3,1237,sd_3_100.txt,85,120
3,1237,sd_3_100.txt,86,120
